date,pop,isPartial
2019-02-12,0,False
2019-02-13,0,False
2019-02-14,0,False
2019-02-15,0,False
2019-02-16,0,False
2019-02-17,0,False
2019-02-18,0,False
2019-02-19,0,False
2019-02-20,31,False
2019-02-21,31,False
2019-02-22,33,False
2019-02-23,41,False
2019-02-24,31,False
2019-02-25,31,False
2019-02-26,15,False
2019-02-27,30,False
2019-02-28,32,False
2019-03-01,18,False
2019-03-02,22,False
2019-03-03,0,False
2019-03-04,0,False
2019-03-05,0,False
2019-03-06,16,False
2019-03-07,16,False
2019-03-08,16,False
2019-03-09,0,False
2019-03-10,0,False
2019-03-11,16,False
2019-03-12,23,False
2019-03-13,15,False
2019-03-14,27,False
2019-03-15,17,False
2019-03-16,20,False
2019-03-17,20,False
2019-03-18,16,False
2019-03-19,36,False
2019-03-20,39,False
2019-03-21,62,False
2019-03-22,39,False
2019-03-23,0,False
2019-03-24,27,False
2019-03-25,21,False
2019-03-26,39,False
2019-03-27,46,False
2019-03-28,15,False
2019-03-29,23,False
2019-03-30,21,False
2019-03-31,21,False
2019-04-01,16,False
2019-04-02,0,False
2019-04-03,47,False
2019-04-04,26,False
2019-04-05,56,False
2019-04-06,20,False
2019-04-07,31,False
2019-04-08,26,False
2019-04-09,30,False
2019-04-10,23,False
2019-04-11,47,False
2019-04-12,22,False
2019-04-13,32,False
2019-04-14,0,False
2019-04-15,16,False
2019-04-16,32,False
2019-04-17,38,False
2019-04-18,27,False
2019-04-19,45,False
2019-04-20,0,False
2019-04-21,0,False
2019-04-22,16,False
2019-04-23,24,False
2019-04-24,31,False
2019-04-25,46,False
2019-04-26,41,False
2019-04-27,20,False
2019-04-28,0,False
2019-04-29,0,False
2019-04-30,31,False
2019-05-01,18,False
2019-05-02,31,False
2019-05-03,17,False
2019-05-04,30,False
2019-05-05,20,False
2019-05-06,31,False
2019-05-07,46,False
2019-05-08,54,False
2019-05-09,31,False
2019-05-10,17,False
2019-05-11,21,False
2019-05-12,20,False
2019-05-13,21,False
2019-05-14,36,False
2019-05-15,57,False
2019-05-16,67,False
2019-05-17,17,False
2019-05-18,20,False
2019-05-19,20,False
2019-05-20,26,False
2019-05-21,40,False
2019-05-22,50,False
2019-05-23,30,False
2019-05-24,49,False
2019-05-25,41,False
2019-05-26,40,False
2019-05-27,37,False
2019-05-28,20,False
2019-05-29,30,False
2019-05-30,39,False
2019-05-31,37,False
2019-06-01,47,False
2019-06-02,36,False
2019-06-03,47,False
2019-06-04,45,False
2019-06-05,49,False
2019-06-06,20,False
2019-06-07,25,False
2019-06-08,20,False
2019-06-09,0,False
2019-06-10,45,False
2019-06-11,30,False
2019-06-12,25,False
2019-06-13,40,False
2019-06-14,26,False
2019-06-15,26,False
2019-06-16,41,False
2019-06-17,56,False
2019-06-18,25,False
2019-06-19,0,False
2019-06-20,0,False
2019-06-21,18,False
2019-06-22,0,False
2019-06-23,21,False
2019-06-24,21,False
2019-06-25,15,False
2019-06-26,22,False
2019-06-27,35,False
2019-06-28,16,False
2019-06-29,41,False
2019-06-30,0,False
2019-07-01,16,False
2019-07-02,31,False
2019-07-03,31,False
2019-07-04,51,False
2019-07-05,42,False
2019-07-06,21,False
2019-07-07,21,False
2019-07-08,28,False
2019-07-09,34,False
2019-07-10,94,False
2019-07-11,100,False
2019-07-12,78,False
2019-07-13,51,False
2019-07-14,35,False
2019-07-15,32,False
2019-07-16,15,False
2019-07-17,21,False
2019-07-18,24,False
2019-07-19,35,False
2019-07-20,21,False
2019-07-21,22,False
2019-07-22,32,False
2019-07-23,0,False
2019-07-24,0,False
2019-07-25,24,False
2019-07-26,22,False
2019-07-27,40,False
2019-07-28,21,False
2019-07-29,21,False
2019-07-30,15,False
2019-07-31,0,False
2019-08-01,0,False
2019-08-02,16,False
2019-08-03,20,False
2019-08-04,20,False
2019-08-05,31,False
2019-08-06,0,False
2019-08-07,31,False
2019-08-08,31,False
2019-08-09,41,False
