date,pl do veneno,isPartial
2019-02-12,0,False
2019-02-13,0,False
2019-02-14,0,False
2019-02-15,0,False
2019-02-16,0,False
2019-02-17,0,False
2019-02-18,0,False
2019-02-19,0,False
2019-02-20,0,False
2019-02-21,0,False
2019-02-22,0,False
2019-02-23,0,False
2019-02-24,0,False
2019-02-25,0,False
2019-02-26,49,False
2019-02-27,0,False
2019-02-28,50,False
2019-03-01,0,False
2019-03-02,0,False
2019-03-03,0,False
2019-03-04,0,False
2019-03-05,0,False
2019-03-06,0,False
2019-03-07,51,False
2019-03-08,54,False
2019-03-09,0,False
2019-03-10,0,False
2019-03-11,0,False
2019-03-12,0,False
2019-03-13,49,False
2019-03-14,0,False
2019-03-15,0,False
2019-03-16,0,False
2019-03-17,0,False
2019-03-18,50,False
2019-03-19,0,False
2019-03-20,0,False
2019-03-21,0,False
2019-03-22,53,False
2019-03-23,0,False
2019-03-24,0,False
2019-03-25,50,False
2019-03-26,0,False
2019-03-27,0,False
2019-03-28,0,False
2019-03-29,0,False
2019-03-30,0,False
2019-03-31,68,False
2019-04-01,0,False
2019-04-02,0,False
2019-04-03,0,False
2019-04-04,50,False
2019-04-05,54,False
2019-04-06,64,False
2019-04-07,0,False
2019-04-08,50,False
2019-04-09,0,False
2019-04-10,0,False
2019-04-11,0,False
2019-04-12,0,False
2019-04-13,0,False
2019-04-14,0,False
2019-04-15,52,False
2019-04-16,0,False
2019-04-17,52,False
2019-04-18,0,False
2019-04-19,0,False
2019-04-20,0,False
2019-04-21,0,False
2019-04-22,0,False
2019-04-23,0,False
2019-04-24,0,False
2019-04-25,0,False
2019-04-26,0,False
2019-04-27,63,False
2019-04-28,61,False
2019-04-29,0,False
2019-04-30,0,False
2019-05-01,0,False
2019-05-02,0,False
2019-05-03,0,False
2019-05-04,62,False
2019-05-05,64,False
2019-05-06,100,False
2019-05-07,50,False
2019-05-08,0,False
2019-05-09,0,False
2019-05-10,56,False
2019-05-11,0,False
2019-05-12,0,False
2019-05-13,50,False
2019-05-14,0,False
2019-05-15,0,False
2019-05-16,0,False
2019-05-17,0,False
2019-05-18,63,False
2019-05-19,0,False
2019-05-20,0,False
2019-05-21,0,False
2019-05-22,0,False
2019-05-23,0,False
2019-05-24,0,False
2019-05-25,65,False
2019-05-26,64,False
2019-05-27,0,False
2019-05-28,0,False
2019-05-29,0,False
2019-05-30,0,False
2019-05-31,0,False
2019-06-01,0,False
2019-06-02,0,False
2019-06-03,0,False
2019-06-04,47,False
2019-06-05,47,False
2019-06-06,0,False
2019-06-07,0,False
2019-06-08,0,False
2019-06-09,0,False
2019-06-10,0,False
2019-06-11,0,False
2019-06-12,0,False
2019-06-13,49,False
2019-06-14,0,False
2019-06-15,0,False
2019-06-16,0,False
2019-06-17,0,False
2019-06-18,0,False
2019-06-19,50,False
2019-06-20,0,False
2019-06-21,0,False
2019-06-22,67,False
2019-06-23,0,False
2019-06-24,0,False
2019-06-25,0,False
2019-06-26,46,False
2019-06-27,0,False
2019-06-28,0,False
2019-06-29,0,False
2019-06-30,0,False
2019-07-01,50,False
2019-07-02,49,False
2019-07-03,0,False
2019-07-04,0,False
2019-07-05,0,False
2019-07-06,0,False
2019-07-07,0,False
2019-07-08,0,False
2019-07-09,0,False
2019-07-10,0,False
2019-07-11,0,False
2019-07-12,0,False
2019-07-13,0,False
2019-07-14,0,False
2019-07-15,51,False
2019-07-16,0,False
2019-07-17,0,False
2019-07-18,0,False
2019-07-19,0,False
2019-07-20,0,False
2019-07-21,0,False
2019-07-22,0,False
2019-07-23,0,False
2019-07-24,0,False
2019-07-25,0,False
2019-07-26,0,False
2019-07-27,65,False
2019-07-28,0,False
2019-07-29,51,False
2019-07-30,0,False
2019-07-31,0,False
2019-08-01,0,False
2019-08-02,0,False
2019-08-03,0,False
2019-08-04,0,False
2019-08-05,0,False
2019-08-06,0,False
2019-08-07,49,False
2019-08-08,0,False
2019-08-09,0,False
2019-08-10,0,False
2019-08-11,0,False
